code,name,date,shares,d_shares,pct,aum_wy,nav,flow_wy
510050,华夏上证50ETF,2023-12-25,3347796.68,4860.0,0.1454,7733410.3308,2.3099999999999996,11226.599999999999
510050,华夏上证50ETF,2023-12-22,3342936.68,71640.0,2.19,7712154.920760001,2.3070000000000004,165273.48000000004
510050,华夏上证50ETF,2023-12-21,3271296.68,59040.0,1.838,7517439.77064,2.2979999999999996,135673.91999999998
510050,华夏上证50ETF,2023-12-20,3212256.68,5130.0,0.16,7304671.69032,2.274,11665.62
510050,华夏上证50ETF,2023-12-19,3207126.68,40860.0,1.2905,7337905.843839999,2.288,93487.68
510050,华夏上证50ETF,2023-12-18,3166266.68,25290.0,0.8052,7225420.56376,2.282,57711.78
510050,华夏上证50ETF,2023-12-15,3140976.68,-18090.0,-0.5726,7148862.92368,2.276,-41172.84
510050,华夏上证50ETF,2023-12-14,3159066.68,6030.0,0.1912,7205831.097080001,2.281,13754.43
510050,华夏上证50ETF,2023-12-13,3153036.68,17640.0,0.5626,7226760.070560001,2.2920000000000003,40430.880000000005
510050,华夏上证50ETF,2023-12-12,3135396.68,46890.0,1.5182,7327422.0411600005,2.337,109581.93000000001
510050,华夏上证50ETF,2023-12-11,3088506.68,69030.0,2.2862,7180778.031,2.325,160494.75
510050,华夏上证50ETF,2023-12-08,3019476.68,4590.0,0.1522,6990088.5142,2.315,10625.85
510050,华夏上证50ETF,2023-12-07,3014886.68,18990.0,0.6339,6958358.457439999,2.3079999999999994,43828.91999999999
510050,华夏上证50ETF,2023-12-06,2995896.68,-1800.0,-0.06,6941492.60756,2.317,-4170.6
510050,华夏上证50ETF,2023-12-05,2997696.68,-5670.0,-0.1888,6954656.2976,2.32,-13154.4
510050,华夏上证50ETF,2023-12-04,3003366.68,18450.0,0.6181,7111972.298239999,2.368,43689.6
510050,华夏上证50ETF,2023-12-01,2984916.68,81000.0,2.7893,7124996.1151600005,2.387,193347.0
510050,华夏上证50ETF,2023-11-30,2903916.68,20250.0,0.7022,6972303.94868,2.401,48620.24999999999
510050,华夏上证50ETF,2023-11-29,2883666.68,82980.0,2.9628,6900614.365239999,2.393,198571.13999999998
510050,华夏上证50ETF,2023-11-28,2800686.68,34380.0,1.2428,6738452.15208,2.406,82718.28
510050,华夏上证50ETF,2023-11-27,2766306.68,3150.0,0.114,6655733.87208,2.4059999999999997,7578.899999999999
510050,华夏上证50ETF,2023-11-24,2763156.68,-7020.0,-0.2534,6813944.372880001,2.466,-17311.32
510050,华夏上证50ETF,2023-11-23,2770176.68,4230.0,0.1529,6870038.1664,2.48,10490.4
510050,华夏上证50ETF,2023-11-22,2765946.68,1620.0,0.0586,6837420.19296,2.4719999999999995,4004.6399999999994
510050,华夏上证50ETF,2023-11-21,2764326.68,31860.0,1.166,6888702.086560001,2.492,79395.12
510050,华夏上证50ETF,2023-11-20,2732466.68,66420.0,2.4913,6776517.3664,2.4799999999999995,164721.59999999998
510050,华夏上证50ETF,2023-11-17,2666046.68,121050.0,4.7564,6593133.43964,2.473,299356.64999999997
510050,华夏上证50ETF,2023-11-16,2544996.68,-34470.0,-1.3363,6311591.7664,2.48,-85485.6
510050,华夏上证50ETF,2023-11-15,2579466.68,4230.0,0.1643,6456405.10004,2.5029999999999997,10587.689999999999
510050,华夏上证50ETF,2023-11-14,2575236.68,25470.0,0.9989,6391737.4397599995,2.4819999999999998,63216.53999999999
510050,华夏上证50ETF,2023-11-13,2549766.68,38250.0,1.523,6333620.433119999,2.4839999999999995,95012.99999999999
510050,华夏上证50ETF,2023-11-10,2511516.68,20880.0,0.8383,6253676.5332,2.49,51991.200000000004
510050,华夏上证50ETF,2023-11-09,2490636.68,38790.0,1.5821,6258969.976840001,2.513,97479.26999999999
510050,华夏上证50ETF,2023-11-08,2451846.68,22230.0,0.915,6163942.55352,2.514,55886.219999999994
510050,华夏上证50ETF,2023-11-07,2429616.68,25110.0,1.0443,6125063.650280001,2.521,63302.31
510050,华夏上证50ETF,2023-11-06,2404506.68,-7830.0,-0.3246,6095424.4338,2.5349999999999997,-19849.05
510050,华夏上证50ETF,2023-11-03,2412336.68,30150.0,1.2656,6064614.41352,2.514,75797.09999999999
510050,华夏上证50ETF,2023-11-02,2382186.68,-3690.0,-0.1547,5941173.579919999,2.4939999999999998,-9202.859999999999
510050,华夏上证50ETF,2023-11-01,2385876.68,-66240.0,-2.7013,5959919.94664,2.4979999999999998,-165467.52
510050,华夏上证50ETF,2023-10-31,2452116.68,11790.0,0.4831,6100866.29984,2.488,29333.52
510050,华夏上证50ETF,2023-10-30,2440326.68,-5040.0,-0.2061,6078853.759880001,2.491,-12554.640000000001
510050,华夏上证50ETF,2023-10-27,2445366.68,-10440.0,-0.4251,6093853.766559999,2.4919999999999995,-26016.479999999996
510050,华夏上证50ETF,2023-10-26,2455806.68,19800.0,0.8128,6065842.4996,2.4699999999999998,48905.99999999999
510050,华夏上证50ETF,2023-10-25,2436006.68,-41580.0,-1.6782,5999884.45284,2.463,-102411.54000000001
510050,华夏上证50ETF,2023-10-24,2477586.68,12780.0,0.5185,6072564.95268,2.451,31323.780000000002
510050,华夏上证50ETF,2023-10-23,2464806.68,-2430.0,-0.0985,6019057.91256,2.4419999999999997,-5934.0599999999995
510050,华夏上证50ETF,2023-10-20,2467236.68,-32760.0,-1.3104,6074336.70616,2.4619999999999997,-80655.12
510050,华夏上证50ETF,2023-10-19,2499996.68,-12420.0,-0.4943,6187491.783,2.4749999999999996,-30739.499999999996
510050,华夏上证50ETF,2023-10-18,2512416.68,360.0,0.0143,6389075.6172400005,2.543,915.48
510050,华夏上证50ETF,2023-10-17,2512056.68,-20700.0,-0.8173,6418304.8174,2.5549999999999997,-52888.49999999999
510050,华夏上证50ETF,2023-10-16,2532756.68,1170.0,0.0462,6443332.993919999,2.5439999999999996,2976.4799999999996
510050,华夏上证50ETF,2023-10-13,2531586.68,16020.0,0.6368,6496051.42088,2.566,41107.32
510050,华夏上证50ETF,2023-10-12,2515566.68,540.0,0.0215,6520348.834559999,2.5919999999999996,1399.6799999999998
510050,华夏上证50ETF,2023-10-11,2515026.68,8910.0,0.3555,6458588.51424,2.568,22880.88
510050,华夏上证50ETF,2023-10-10,2506116.68,33840.0,1.3688,6413152.58412,2.5589999999999997,86596.56
510050,华夏上证50ETF,2023-10-09,2472276.68,-16560.0,-0.6654,6371057.00436,2.5769999999999995,-42675.119999999995
510050,华夏上证50ETF,2023-09-28,2488836.68,26640.0,1.082,6433642.8178,2.585,68864.4
510050,华夏上证50ETF,2023-09-27,2462196.68,-12240.0,-0.4947,6399249.17132,2.5989999999999998,-31811.76
510050,华夏上证50ETF,2023-09-26,2474436.68,63180.0,2.6202,6413739.874559999,2.5919999999999996,163762.55999999997
510050,华夏上证50ETF,2023-09-25,2411256.68,7020.0,0.292,6288557.42144,2.6079999999999997,18308.159999999996
510050,华夏上证50ETF,2023-09-22,2404236.68,51300.0,2.1803,6323142.4684,2.63,134919.0
510050,华夏上证50ETF,2023-09-21,2352936.68,-2700.0,-0.1146,6056459.01432,2.574,-6949.799999999999
510050,华夏上证50ETF,2023-09-20,2355636.68,-450.0,-0.0191,6124655.368,2.5999999999999996,-1169.9999999999998
510050,华夏上证50ETF,2023-09-19,2356086.68,90.0,0.0038,6149386.2348,2.61,234.89999999999998
510050,华夏上证50ETF,2023-09-18,2355996.68,4140.0,0.176,6149151.3348,2.61,10805.4
510050,华夏上证50ETF,2023-09-15,2351856.68,-21240.0,-0.895,6098364.37124,2.593,-55075.32
510050,华夏上证50ETF,2023-09-14,2373096.68,-13680.0,-0.5732,6189036.14144,2.608,-35677.44
510050,华夏上证50ETF,2023-09-13,2386776.68,-27270.0,-1.1296,6210392.92136,2.602,-70956.54
510050,华夏上证50ETF,2023-09-12,2414046.68,720.0,0.0298,6298247.78812,2.6089999999999995,1878.4799999999996
510050,华夏上证50ETF,2023-09-11,2413326.68,-4320.0,-0.1787,6308435.94152,2.614,-11292.48
510050,华夏上证50ETF,2023-09-08,2417646.68,900.0,0.0372,6278628.42796,2.597,2337.3
510050,华夏上证50ETF,2023-09-07,2416746.68,2160.0,0.0895,6312542.32816,2.6119999999999997,5641.919999999999
510050,华夏上证50ETF,2023-09-06,2414586.68,8010.0,0.3328,6369679.66184,2.638,21130.38
510050,华夏上证50ETF,2023-09-05,2406576.68,8460.0,0.3528,6355769.01188,2.641,22342.86
510050,华夏上证50ETF,2023-09-04,2398116.68,-39150.0,-1.6063,6371796.018759999,2.6569999999999996,-104021.54999999999
510050,华夏上证50ETF,2023-09-01,2437266.68,-37530.0,-1.5165,6363703.30148,2.6109999999999998,-97990.82999999999
510050,华夏上证50ETF,2023-08-31,2474796.68,-17730.0,-0.7113,6404773.80784,2.5879999999999996,-45885.23999999999
510050,华夏上证50ETF,2023-08-30,2492526.68,-22770.0,-0.9053,6480569.368,2.5999999999999996,-59201.99999999999
510050,华夏上证50ETF,2023-08-29,2515296.68,24660.0,0.9901,6557378.444759999,2.6069999999999998,64288.619999999995
510050,华夏上证50ETF,2023-08-28,2490636.68,23490.0,0.9521,6465692.821280001,2.596,60980.04
510050,华夏上证50ETF,2023-08-25,2467146.68,8460.0,0.3441,6320829.79416,2.562,21674.519999999997
510050,华夏上证50ETF,2023-08-24,2458686.68,10530.0,0.4301,6281944.4674,2.555,26904.15
510050,华夏上证50ETF,2023-08-23,2448156.68,-21060.0,-0.8529,6206077.1838,2.5349999999999997,-53387.09999999999
510050,华夏上证50ETF,2023-08-22,2469216.68,90.0,0.0036,6340948.43424,2.568,231.12
510050,华夏上证50ETF,2023-08-21,2469126.68,10350.0,0.4209,6293803.907319999,2.5489999999999995,26382.149999999994
510050,华夏上证50ETF,2023-08-18,2458776.68,-9990.0,-0.4047,6348561.38776,2.582,-25794.18
510050,华夏上证50ETF,2023-08-17,2468766.68,20160.0,0.8233,6448418.56816,2.612,52657.920000000006
510050,华夏上证50ETF,2023-08-16,2448606.68,31500.0,1.3032,6381069.00808,2.606,82089.0
510050,华夏上证50ETF,2023-08-15,2417106.68,28980.0,1.2135,6337653.71496,2.6219999999999994,75985.55999999998
510050,华夏上证50ETF,2023-08-14,2388126.68,7290.0,0.3062,6268832.535,2.625,19136.25
510050,华夏上证50ETF,2023-08-11,2380836.68,-45450.0,-1.8732,6299693.855280001,2.646,-120260.7
510050,华夏上证50ETF,2023-08-10,2426286.68,14220.0,0.5895,6570384.3294400005,2.708,38507.76
510050,华夏上证50ETF,2023-08-09,2412066.68,65250.0,2.7804,6529464.50276,2.707,176631.75
510050,华夏上证50ETF,2023-08-08,2346816.68,52650.0,2.295,6359873.2028,2.71,142681.5
510050,华夏上证50ETF,2023-08-07,2294166.68,65610.0,2.9441,6224074.20284,2.713,177999.93
510050,华夏上证50ETF,2023-08-04,2228556.68,14310.0,0.6463,6079502.62304,2.7279999999999998,39037.67999999999
510050,华夏上证50ETF,2023-08-03,2214246.68,15570.0,0.7082,6031607.95632,2.7239999999999998,42412.67999999999
510050,华夏上证50ETF,2023-08-02,2198676.68,46440.0,2.1578,5934228.35932,2.699,125341.56
510050,华夏上证50ETF,2023-08-01,2152236.68,36810.0,1.7401,5864844.953,2.7249999999999996,100307.24999999999
510050,华夏上证50ETF,2023-07-31,2115426.68,39060.0,1.8812,5781461.11644,2.7329999999999997,106750.97999999998
510050,华夏上证50ETF,2023-07-28,2076366.68,53910.0,2.6656,5660175.569680001,2.7260000000000004,146958.66000000003
510300,华泰柏瑞沪深300ETF,2026-07-27,2464158.77,26100.0,1.0705,11725206.675291,4.7583,124191.63
510300,华泰柏瑞沪深300ETF,2026-07-24,2438058.77,35370.0,1.4721,11469847.483465,4.7044999999999995,166398.16499999998
510300,华泰柏瑞沪深300ETF,2026-07-23,2402688.77,-1800.0,-0.0749,11492300.655787,4.7831,-8609.58
510300,华泰柏瑞沪深300ETF,2026-07-22,2404488.77,-31230.0,-1.2822,11474220.41044,4.772,-149029.56
510300,华泰柏瑞沪深300ETF,2026-07-21,2435718.77,-6480.0,-0.2653,11674887.208364,4.793200000000001,-31059.936000000005
510300,华泰柏瑞沪深300ETF,2026-07-20,2442198.77,270540.0,12.4578,11359154.919024,4.6512,1258335.648
510300,华泰柏瑞沪深300ETF,2026-07-17,2171658.77,201510.0,10.2282,9952060.645279,4.5827,923459.877
510300,华泰柏瑞沪深300ETF,2026-07-16,1970148.77,130590.0,7.099,9355251.434345,4.7485,620106.615
510300,华泰柏瑞沪深300ETF,2026-07-15,1839558.77,-8640.0,-0.4675,8891691.270672001,4.833600000000001,-41762.304000000004
510300,华泰柏瑞沪深300ETF,2026-07-14,1848198.77,16110.0,0.8793,8950641.823233001,4.8429,78019.119
510300,华泰柏瑞沪深300ETF,2026-07-13,1832088.77,116370.0,6.7826,8688314.573971001,4.742300000000001,551861.4510000001
